source,target,link_type,weight,source_type,source_country,target_type,target_country
Spanish Shrimp  Carriers,12744,ownership,0.90013963,company,Nalakond,organization,
Spanish Shrimp  Carriers,21323516,partnership,0.8458973,company,Nalakond,organization,
Spanish Shrimp  Carriers,290834957,partnership,0.9648761,company,Nalakond,organization,
Spanish Shrimp  Carriers,3506021,ownership,0.9642126,company,Nalakond,organization,
Spanish Shrimp  Carriers,Conventionâ,family_relationship,0.82348585,company,Nalakond,,
Spanish Shrimp  Carriers,2262,family_relationship,0.8931523,company,Nalakond,organization,
Spanish Shrimp  Carriers,Ashley Davis,family_relationship,0.8393061,company,Nalakond,person,Syrithania
Spanish Shrimp  Carriers,924,family_relationship,0.88508075,company,Nalakond,organization,
Spanish Shrimp  Carriers,95,family_relationship,0.8865156,company,Nalakond,organization,
Spanish Shrimp  Carriers,Ancla Azul Company Solutions,membership,0.8986875,company,Nalakond,,
Spanish Shrimp  Carriers,185106,partnership,0.87834406,company,Nalakond,organization,
Spanish Shrimp  Carriers,Stephanie Garner,family_relationship,0.9664978,company,Nalakond,person,Country_271835
Spanish Shrimp  Carriers,âpair,membership,0.95491886,company,Nalakond,,
Spanish Shrimp  Carriers,Guessl,ownership,0.906598,company,Nalakond,,
Spanish Shrimp  Carriers,Federated,ownership,0.85037404,company,Nalakond,,
Spanish Shrimp  Carriers,94760735,family_relationship,0.8211689,company,Nalakond,organization,
Spanish Shrimp  Carriers,Act,membership,0.84271693,company,Nalakond,event,
Spanish Shrimp  Carriers,83,family_relationship,0.91274184,company,Nalakond,organization,
Spanish Shrimp  Carriers,imo,ownership,0.8865423,company,Nalakond,,
Spanish Shrimp  Carriers,Torremolinos,partnership,0.92457855,company,Nalakond,,
Spanish Shrimp  Carriers,International-Convention,ownership,0.91700685,company,Nalakond,,
Spanish Shrimp  Carriers,logo,membership,0.8683886,company,Nalakond,,
Spanish Shrimp  Carriers,551,membership,0.85606986,company,Nalakond,organization,
Spanish Shrimp  Carriers,Dana Goodwin,membership,0.92410904,company,Nalakond,person,Marebak
Spanish Shrimp  Carriers,Misty Thomas,membership,0.8302771,company,Nalakond,person,Country_271835
Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,membership,0.8621031,company,Nalakond,company,Oceanus
Spanish Shrimp  Carriers,314,partnership,0.8461635,company,Nalakond,organization,
Spanish Shrimp  Carriers,56,partnership,0.8549085,company,Nalakond,organization,
Spanish Shrimp  Carriers,2983,membership,0.86141807,company,Nalakond,organization,
Spanish Shrimp  Carriers,FinestSea Ltd. Corporation Enterprises,family_relationship,0.8872652,company,Nalakond,,
Spanish Shrimp  Carriers,653,membership,0.89786583,company,Nalakond,organization,
Spanish Shrimp  Carriers,Icelandic Shrimp Corporation Transport,membership,0.8220973,company,Nalakond,,
Spanish Shrimp  Carriers,1094345,membership,0.8432206,company,Nalakond,organization,
Spanish Shrimp  Carriers,7691,membership,0.8699905,company,Nalakond,organization,
Spanish Shrimp  Carriers,341,membership,0.86455804,company,Nalakond,organization,
Spanish Shrimp  Carriers,Lake Mweru A/S Carriers,membership,0.80229217,company,Nalakond,,
Spanish Shrimp  Carriers,Playa de la Felicidad Oyj Cargo,partnership,0.8711762,company,Nalakond,,
