,source,target,link_type,weight,source_type,dataset_x,source_country,target_type,target_country,count
0,12744,Spanish Shrimp  Carriers,ownership,0.900140,company,MC1,Nalakond,organization,,2
1,12744,Spanish Shrimp  Carriers,ownership,0.917011,organization,MC1,,company,Nalakond,2
2,3506021,Spanish Shrimp  Carriers,ownership,0.964213,company,MC1,Nalakond,organization,,2
3,3506021,Spanish Shrimp  Carriers,ownership,0.889810,organization,MC1,,company,Nalakond,2
4,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,membership,0.862103,company,MC1,Nalakond,company,Oceanus,2
5,Spanish Shrimp  Carriers,Turkish Sword Buoy Incorporated Forwading,membership,0.841152,company,MC1,Oceanus,company,Nalakond,2
6,196159,7775,family_relationship,0.852304,organization,MC1,,organization,,2
7,196159,7775,family_relationship,0.938945,organization,MC1,,organization,,2
8,185040354,4,partnership,0.857406,organization,MC1,,organization,,2
9,185040354,4,partnership,0.876437,organization,MC1,,organization,,2
10,185040354,3506021,ownership,0.841343,organization,MC1,,organization,,2
11,185040354,3506021,ownership,0.968845,organization,MC1,,organization,,2
12,185040354,505943,ownership,0.827212,organization,MC1,,organization,,2
13,185040354,505943,ownership,0.931467,organization,MC1,,organization,,2
14,185040354,23774,partnership,0.850333,organization,MC1,,organization,,2
15,185040354,23774,partnership,0.866699,organization,MC1,,organization,,2
16,767,Faroe Islands Shrimp Shark,partnership,0.883147,company,MC1,Rio Isla,organization,,2
17,767,Faroe Islands Shrimp Shark,partnership,0.947659,organization,MC1,,company,Rio Isla,2
18,Faroe Islands Shrimp Shark,Master,family_relationship,0.839838,company,MC1,Rio Isla,,,2
19,Faroe Islands Shrimp Shark,Master,family_relationship,0.886830,,MC1,,company,Rio Isla,2
20,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,partnership,0.905016,company,MC1,Rio Isla,location,,2
21,Faroe Islands Shrimp Shark,b8567859-bf54-49fd-8332-5775e19c65af,partnership,0.967632,location,MC1,,company,Rio Isla,2
22,341411,Faroe Islands Shrimp Shark,family_relationship,0.861488,company,MC1,Rio Isla,organization,,2
23,341411,Faroe Islands Shrimp Shark,family_relationship,2.609392,organization,MC1,,company,Rio Isla,2
24,Faroe Islands Shrimp Shark,png xi  Line,family_relationship,1.728913,company,MC1,Rio Isla,company,Country_628643,2
25,Faroe Islands Shrimp Shark,png xi  Line,family_relationship,1.741449,company,MC1,Country_628643,company,Rio Isla,2
26,Faroe Islands Shrimp Shark,png xi  Line,membership,0.841791,company,MC1,Rio Isla,company,Country_628643,2
27,Faroe Islands Shrimp Shark,png xi  Line,membership,2.464103,company,MC1,Country_628643,company,Rio Isla,2
28,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,1.764709,company,MC1,Rio Isla,,,2
29,Faroe Islands Shrimp Shark,SeaSpray Wave SRL Solutions,ownership,0.837742,,MC1,,company,Rio Isla,2
